,,,,Pakistan Website Defacement Data 2006-2020,,,,,
"Total notifications: 1,351 of which 568 single ip and 783 mass defacements",,,,,,,,,
,,,,,,,,,
Legend:,,,,,,,,,
H - Homepage defacement,,,,,,,,,
M - Mass defacement (click to view all defacements of this IP),,,,,,,,,
R - Redefacement (click to view all defacements of this site) ,,,,,,,,,
L - IP address location,,,,,,,,,
 - Special defacement (special defacements are important websites),,,,,,,,,
,,,,,,,,,
Date,Notifier,H,M,R,L,,Domain,OS,View
8/14/2018,MiCkeY HeXx,H,,,,,pf.radio.gov.pk,Linux,mirror
8/14/2018,MiCkeY HeXx,,M,,,,newsimage.radio.gov.pk/index.html,Linux,mirror
8/14/2018,MiCkeY HeXx,H,M,,,,caimage.radio.gov.pk,Linux,mirror
8/14/2018,Pak Monster,H,,R,,,schoolportal.punjab.gov.pk,Win 2012,mirror
8/8/2018,MiCkeY HeXx,,,R,,,radar.pmd.gov.pk/islamabad/,Win 2012,mirror
8/8/2018,MiCkeY HeXx,,M,R,,,rmcpunjab.pmd.gov.pk/forecast/,Win 2012,mirror
8/8/2018,MiCkeY HeXx,H,M,R,,,seismic.pmd.gov.pk,Win 2012,mirror
8/7/2018,5h311_1nj3c706,,,,,,abbottabaddc.peshawarhighcourt...,Linux,mirror
8/7/2018,5h311_1nj3c706,,M,,,,haripurdc.peshawarhighcourt.go...,Linux,mirror
8/3/2018,SAHARA H4xOR,,,,,,ojs.jar.punjab.gov.pk/public/s...,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,phenrd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,fd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,cmit.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,istd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,sgacd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,pwd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,prisons.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,lgd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,swd.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,transport.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,skaa.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,livestock.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,mohtasib.sindh.gov.pk/iya.html,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,minorityaffairs.sindh.gov.pk/i...,Linux,mirror
6/25/2018,./r0cky_n00bz,,M,,,,irrigation.sindh.gov.pk/iya.html,Linux,mirror
6/4/2018,Unit 69010,H,,R,,,www.agfp.gov.pk,Linux,mirror
6/3/2018,chitoge,H,,,,,pips.gov.pk,Linux,mirror
5/19/2018,Pak MOnster,,M,,,,pof.gov.pk/updateData_tech.php,Linux,mirror
5/14/2018,MiCkeY HeXx,H,,R,,,namc.pmd.gov.pk,Win 2012,mirror
5/11/2018,Black-Python,,,,,,www.kpsports.gov.pk/pwned.html,Linux,mirror
5/3/2018,ErrOr SquaD,H,M,R,,,www.sindhhighcourt.gov.pk,Win 2008,mirror
5/3/2018,ErrOr SquaD,H,,,,,www.shc.gov.pk,Win 2008,mirror
4/27/2018,5H311_1NJ3C706,,M,R,,,www.dgdp.gov.pk/i~crew.html,Linux,mirror
4/27/2018,5H311_1NJ3C706,,M,R,,,fab.gov.pk/i~crew.html,Linux,mirror
4/27/2018,5H311_1NJ3C706,,M,R,,,ljcp.gov.pk/i~crew.html,Linux,mirror
4/27/2018,5H311_1NJ3C706,,M,R,,,www.agp.gov.pk/images/i~crew.html,Linux,mirror
4/27/2018,5H311_1NJ3C706,,M,R,,,www.estate-office.gov.pk/img/i...,Linux,mirror
4/20/2018,MuhmadEmad,,,R,,,mes.gov.pk/krd.html,Linux,mirror
4/20/2018,BALA SNIPER,,,R,,,sco.gov.pk/index.php,Linux,mirror
4/19/2018,ErrOr SquaD,,,R,,,ptb.gov.pk/log.txt,Linux,mirror
4/15/2018,ErrOr SquaD,H,,,,,www.pkha.gov.pk,Linux,mirror
4/4/2018,Serizawa404,H,,,,,afip.gov.pk,Linux,mirror
3/31/2018,error1046,,,R,,,www.wapda.gov.pk/license.html,Linux,mirror
3/15/2018,Ali Duzlawi097,,,,,,schools.kpese.gov.pk/iq.txt,Linux,mirror
3/5/2018,Weedatae,,,R,,,ndma.gov.pk/a.txt,Win 2008,mirror
2/26/2018,./51N1CH1,,M,,,,frontierarchaeologykp.gov.pk/l...,Linux,mirror
2/26/2018,./51N1CH1,,,R,,,www.pitac.gov.pk/list.htm,Linux,mirror
2/12/2018,MiCkeY HeXx,H,,R,,,irrigation.punjab.gov.pk,Win 2008,mirror
2/3/2018,ErrOr SquaD,,,R,,,www.kpbos.gov.pk/BD.html,Linux,mirror
1/20/2018,Team_CC,,M,R,,,lyallpurmuseum.gov.pk/rebel.html,Linux,mirror
1/20/2018,Team_CC,,M,R,,,faisalabadartscouncil.gov.pk/r...,Linux,mirror
1/14/2018,MiCkeY HeXx,H,,,,,districtcourtsmianwali.gov.pk,Linux,mirror
1/1/2018,5H311_1NJ3C706,H,M,,,,ptclahore.gov.pk,Linux,mirror
12/31/2017,!hR V1Ru5,,,,,,balochistanculture.gov.pk/ihrv...,Linux,mirror
12/29/2017,alqwat,,,,,,www.kpdigitalwoman.gov.pk/s.txt,Linux,mirror
11/22/2017,Hacked By Zeeshan Haxor,H,,R,,,www.punjabfisheries.gov.pk,Linux,mirror
11/7/2017,KidSZonk,,,,,,lgkp.gov.pk/o.txt,Linux,mirror
10/24/2017,Jinnah,,,,,,www.hmckp.gov.pk/index.html,Linux,mirror
