S No.,Date,Notifier,H,M,R,L,Domain,OS,View
187,9/6/2020,3B0Ks,,M,,,filtrationsolutions.com.pk/z.html,Linux,mirror
188,9/6/2020,3B0Ks,,M,,,floralsensation.pk/z.html,Linux,mirror
189,9/3/2020,El Moujahidin,,M,,,vetdoctor.com.pk/365.php,Linux,mirror
190,9/3/2020,El Moujahidin,,M,,,webdoc.com.pk/365.php,Linux,mirror
191,9/3/2020,El Moujahidin,,M,,,elaj.com.pk/365.php,Linux,mirror
192,9/3/2020,El Moujahidin,,M,,,e-compare.com.pk/365.php,Linux,mirror
193,9/2/2020,Clash Hackers,,M,,,abdulkabir.pk/cl.html,Linux,mirror
194,9/2/2020,Clash Hackers,,,,,dinproperties.com.pk/cl.html,Linux,mirror
195,9/2/2020,Mr.IndoXblackHT,H,,,,www.ayeshamart.pk,Linux,mirror
196,9/2/2020,DesTroTN,H,M,R,,muzaffarabad.opf.edu.pk,Linux,mirror
197,9/2/2020,DesTroTN,H,M,R,,sanghar.opf.edu.pk,Linux,mirror
198,9/2/2020,DesTroTN,,M,R,,pakpattan.opf.edu.pk/index.html,Linux,mirror
199,9/2/2020,DesTroTN,H,M,R,,sheikhupura.opf.edu.pk,Linux,mirror
200,9/2/2020,DesTroTN,H,M,R,,mirpur.opf.edu.pk,Linux,mirror
201,9/2/2020,DesTroTN,H,M,R,,rawalpindi.opf.edu.pk,Linux,mirror
202,9/2/2020,DesTroTN,H,M,R,,mansehra.opf.edu.pk,Linux,mirror
203,9/2/2020,DesTroTN,,M,R,,quetta.opf.edu.pk/index.html,Linux,mirror
204,9/2/2020,DesTroTN,H,M,R,,turbat.opf.edu.pk,Linux,mirror
205,9/2/2020,DesTroTN,H,M,R,,gci.opf.edu.pk,Linux,mirror
206,9/2/2020,DesTroTN,H,M,R,,hangu.opf.edu.pk,Linux,mirror
207,9/2/2020,DesTroTN,H,M,R,,karachi.opf.edu.pk,Linux,mirror
208,9/2/2020,DesTroTN,,M,R,,kallarsyedan.opf.edu.pk/index....,Linux,mirror
209,9/2/2020,DesTroTN,H,M,R,,larkana.opf.edu.pk,Linux,mirror
210,9/2/2020,DesTroTN,H,M,R,,kotli.opf.edu.pk,Linux,mirror
211,9/2/2020,DesTroTN,,M,R,,gujrat.opf.edu.pk/index.html,Linux,mirror
212,9/2/2020,DesTroTN,H,M,R,,depalpur.opf.edu.pk,Linux,mirror
213,9/2/2020,DesTroTN,H,M,R,,dadu.opf.edu.pk,Linux,mirror
214,9/2/2020,DesTroTN,H,M,R,,bhalwal.opf.edu.pk,Linux,mirror
215,9/2/2020,DesTroTN,H,M,R,,badin.opf.edu.pk,Linux,mirror
216,9/2/2020,DesTroTN,H,M,R,,bci.opf.edu.pk,Linux,mirror
217,9/2/2020,DesTroTN,,,R,,multan.opf.edu.pk/DesTroTN.html,Linux,mirror
218,9/1/2020,Hunter Bajwa,H,M,,,mcs10.iobm.edu.pk,Linux,mirror
219,9/1/2020,Hunter Bajwa,H,M,,,wellness.iobm.edu.pk,Linux,mirror
220,9/1/2020,Hunter Bajwa,H,M,,,podcast.iobm.edu.pk,Linux,mirror
221,9/1/2020,Hunter Bajwa,H,M,,,pjets.iobm.edu.pk,Linux,mirror
222,9/1/2020,Hunter Bajwa,H,M,,,maces.iobm.edu.pk,Linux,mirror
223,9/1/2020,Hunter Bajwa,H,M,,,orientation.iobm.edu.pk,Linux,mirror
224,9/1/2020,Hunter Bajwa,H,M,,,library.iobm.edu.pk,Linux,mirror
225,9/1/2020,Hunter Bajwa,H,M,,,staff.iobm.edu.pk,Linux,mirror
226,9/1/2020,Hunter Bajwa,H,M,,,news.iobm.edu.pk,Linux,mirror
227,9/1/2020,Hunter Bajwa,H,M,,,jcs.iobm.edu.pk,Linux,mirror
228,9/1/2020,Hunter Bajwa,H,M,,,newdev.iobm.edu.pk,Linux,mirror
229,9/1/2020,Hunter Bajwa,H,M,,,it.iobm.edu.pk,Linux,mirror
230,9/1/2020,Hunter Bajwa,H,M,,,cesd.iobm.edu.pk,Linux,mirror
231,9/1/2020,Hunter Bajwa,H,M,,,events.iobm.edu.pk,Linux,mirror
232,9/1/2020,Hunter Bajwa,H,M,,,ipd.iobm.edu.pk,Linux,mirror
233,9/1/2020,Hunter Bajwa,H,M,,,ces.iobm.edu.pk,Linux,mirror
234,9/1/2020,Hunter Bajwa,H,M,,,ccsis.iobm.edu.pk,Linux,mirror
235,9/1/2020,Hunter Bajwa,H,M,,,cbm.iobm.edu.pk,Linux,mirror
236,9/1/2020,Hunter Bajwa,H,M,,,canvas.iobm.edu.pk,Linux,mirror
237,9/1/2020,Hunter Bajwa,H,M,,,doe.iobm.edu.pk,Linux,mirror
238,9/1/2020,Hunter Bajwa,H,M,,,ic.iobm.edu.pk,Linux,mirror
239,9/1/2020,Hunter Bajwa,H,M,,,alumni.iobm.edu.pk,Linux,mirror
240,9/1/2020,Hunter Bajwa,H,M,,,directory.iobm.edu.pk,Linux,mirror
241,9/1/2020,Hunter Bajwa,H,M,,,admissions.iobm.edu.pk,Linux,mirror
242,9/1/2020,Hunter Bajwa,H,M,,,examination.iobm.edu.pk,Linux,mirror
243,9/1/2020,Hunter Bajwa,H,M,,,convocation.iobm.edu.pk,Linux,mirror
244,9/1/2020,xNot_RespondinGx,,M,R,,www.pakaims.edu.pk/zz.html,Linux,mirror
245,9/1/2020,xNot_RespondinGx,,,R,,admissions.pakaims.edu.pk/lol.txt,Linux,mirror
246,9/1/2020,Harry_1337,H,,,,atifaslam.pk,Linux,mirror
247,8/31/2020,Hunter Bajwa,H,,,,www.iobm.edu.pk,Linux,mirror
248,8/31/2020,Family Attack Cyber,,M,,,crownsfield.pk/87.html,Linux,mirror
249,8/30/2020,GarukPe0ple,,,,,kaptan.pk/ez.html,Linux,mirror
250,8/29/2020,DMar8,H,,,,artstudio.com.pk,Linux,mirror
251,8/29/2020,TheWayEnd,,,,,pidm.pk/tr.html,Linux,mirror
252,8/28/2020,Mr.Z,H,,,,technoamtion.com.pk,Linux,mirror
253,8/28/2020,Fighter Anas,,M,,,fazaltrading.com.pk/Fighter.html,Linux,mirror
254,8/28/2020,Fighter Anas,,M,,,sahulatbazar.com.pk/Fighter.html,Linux,mirror
255,8/28/2020,Fighter Anas,,M,,,mst.com.pk/Fighter.html,Linux,mirror
256,8/28/2020,Fighter Anas,,M,,,www.wellcool.pk/Fighter.html,Linux,mirror
257,8/28/2020,Hunter Bajwa,H,M,R,,kpese.gov.pk,Linux,mirror
258,8/28/2020,Hunter Bajwa,H,,R,,healthkp.gov.pk,Linux,mirror
259,8/24/2020,Zx'Phoenix,H,,,,www.weiye.com.pk,Linux,mirror
260,8/22/2020,Royal Battler BD,,,,,ayubians.edu.pk/Mr.htm,Linux,mirror
261,8/21/2020,Cherif Hadria Mohamed Riane,H,,,,scalenet.com.pk,Linux,mirror
262,8/21/2020,Hunter Saad,H,M,,,starzplay-members.pk,Linux,mirror
263,8/20/2020,./Mr.xWanz403x,,M,,,softtech.com.pk/Ex.htm,Linux,mirror
264,8/20/2020,./Mr.xWanz403x,,M,,,sindhlhwprogram.com.pk/Ex.htm,Linux,mirror
265,8/20/2020,chinafans,,M,,,taxasaan.com.pk/o.htm,Win 2016,mirror
266,8/20/2020,chinafans,,M,,,humantarian.pk/o.htm,Win 2016,mirror
267,8/20/2020,chinafans,,M,,,rone.pk/o.htm,Win 2016,mirror
268,8/20/2020,chinafans,,M,,,redevents.com.pk/o.htm,Win 2016,mirror
269,8/20/2020,chinafans,,M,R,,guardian.org.pk/o.htm,Win 2016,mirror
270,8/20/2020,chinafans,,M,,,campaign.com.pk/o.htm,Win 2016,mirror
271,8/20/2020,chinafans,,M,,,iyassociates.com.pk/o.htm,Win 2016,mirror
272,8/20/2020,chinafans,,M,,,factsartschool.com.pk/o.htm,Win 2016,mirror
273,8/20/2020,chinafans,,M,,,abidali.com.pk/o.htm,Win 2016,mirror
274,8/19/2020,./unn0rmaL,,M,,,wahpublic.pk/LOL.txt,Linux,mirror
275,8/19/2020,Hunter Saad,,M,,,tkskhanpur.pk/saad.html,Linux,mirro
276,8/19/2020,Hunter Saad,,M,,,qatarhotel.com.pk/saad.html,Linux,mirror
277,8/19/2020,Hunter Saad,,M,,,lpsnetwork.pk/saad.html,Linux,mirror
278,8/19/2020,Hunter Saad,,M,,,ilmkhanpur.pk/saad.html,Linux,mirror
279,8/19/2020,Hunter Saad,,M,,,esmartshop.pk/saad.html,Linux,mirror
280,8/19/2020,Hunter Saad,,M,,,elearn.pk/saad.html,Linux,mirror
281,8/19/2020,Hunter Saad,,M,,,bssolutions.com.pk/saad.html,Linux,mirror
282,8/19/2020,Hunter Saad,,M,,,bcb.com.pk/saad.html,Linux,mirror
283,8/19/2020,Hunter Saad,,M,,,alasr.org.pk/saad.html,Linux,mirror
284,8/17/2020,Babacang07,,M,,,hrpartner.pk/17.php,Linux,mirror
285,8/17/2020,Babacang07,,,,,elitecars.pk/17.php,Linux,mirror
286,8/16/2020,./Balut.Penoy,H,,,,skynation.pk,Linux,mirror
287,8/15/2020,MiCkeY HeXx,H,,R,,sbep.gos.pk,Win XP,mirror
288,8/15/2020,MiCkeY HeXx,H,,,,www.sindhinvestment.gos.pk,Linux,mirror
289,8/14/2020,b45u,H,,,,crts.org.pk,Linux,mirror
290,8/13/2020,Newbie_Tersakiti,,M,R,,sunkp.gov.pk/-.htm,Linux,mirror
